idEstado,estado,idMunicipio,municipio,ciudad,zona,cp,asentamiento,tipo
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20130,"Primo Verdad",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20130,"Puerta Navarra",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20130,"Residencial Campestre Club de Golf Norte",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20130,"Residencial Campestre Club de Golf Sur",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20130,"San José del Arenal",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20130,"Unidad Ganadera",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20135,Agropecuario,"Zona comercial"
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20135,"Centro Distribuidor de Básicos","Zona comercial"
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20136,"La Rinconada",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20137,"El Plateado",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20138,"Cerrada San Miguel",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20138,"Residencial Pulgas Pandas Norte",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20138,"Residencial Pulgas Pandas Sur",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20138,"Villas del Vergel",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20140,Andrea,Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20140,"Las Hadas",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20140,Morelos,Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20146,"Los Arcos",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20149,Industrial,Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20150,Buenavista,Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20150,C.T.M.,Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20150,"La Estrella",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20150,"Lomas del Cobano",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20150,"Macias Arellano",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20157,"La Higuerilla",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20157,Parras,Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20158,"El Cobano",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20158,"Hacienda el Cobano",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20158,"Trojes del Cobano",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20158,"Villas del Cobano",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20159,"Alianza Ferrocarrilera",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20159,"Bosques del Prado Oriente",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20160,"Francisco Guel Jimenez",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20160,"Las Viñas INFONAVIT","Unidad habitacional"
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20164,"Santa Anita 4a Sección",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20169,"Santa Anita",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20169,"Santa Anita 2a Sección",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20170,"El Maguey",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20170,"Las Cumbres",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20170,"Lic Benito Juárez","Unidad habitacional"
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20170,"Nazario Ortiz Garza",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20170,"Rodolfo Landeros Gallegos",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20170,S.T.E.M.A.,Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20170,"Villa Bonita",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20170,"Zona Militar",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20172,"Claustros Loma Dorada",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20172,"Cumbres III",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20172,"La Florida l",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20172,"La Florida ll",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20172,"Lic Benito Palomino Dena",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20174,"Colinas de Oriente",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20174,"Lomas de Bellavista",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20174,"Los Laureles",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20174,"Los Pericos",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20174,"Mirador de las Culturas",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20174,"Miradores de Santa Elena",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20174,"Paseos del Sol",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20174,"Villas de la Loma",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20174,"Villas de las Fuentes",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20174,"Vista de las Cumbres",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20175,"Ejido las Cumbres",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20175,"J Refugio Esparza Reyes",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20175,"La Hojarasca",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20175,"Lomas de Oriente 1a Sección",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20175,"Lomas de Oriente 2da. Sección",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20175,"Lomas de Oriente 3ra. Sección",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20177,"C.N.O.P. Oriente",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20179,"Cerro Alto",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20179,"Las Cumbres",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20179,"Las Cumbres II",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20179,"Luis Ortega Douglas",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20179,"Pensadores Mexicanos",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20179,"Pintores Mexicanos",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20179,Progreso,Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20179,"Santa Margarita",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20179,"Santa Regina",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20180,"Bosques de La Alameda",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20180,"Del Trabajo",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20180,Ferronales,Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20180,"Lomas de Santa Anita",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20180,"Luis Gómez Zepeda (ferronales)",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20180,"Nueva Alameda",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20180,"Rinconada de La Alameda",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20190,Héroes,Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20190,"La Hacienda",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20190,"La Mancha",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"Balcones de Oriente",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"Balcones del Valle",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"Colinas de San Patricio",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"El Rocio",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"Haciendas de Aguascalientes",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"José Guadalupe Peralta Gámez",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"José Guadalupe Posada",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,Ojocaliente,Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"Ojocaliente INEGI","Unidad habitacional"
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"Paseo de los Cactus",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Rural,20196,"Real de Haciendas",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"Real del Sol",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"Sol Naciente",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"Solidaridad 1a Sección",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"Terra Nova",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"Valle de los Cactus",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"Valle del Bicentenario",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"Villa de las Norias",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,Villerías,Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20196,"Vistas de Oriente",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20198,"Ejido Ojocaliente",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20198,"Ex Hacienda Ojocaliente",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20198,"Misión Alameda",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20199,"El Riego",Colonia
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20199,"Fidel Velázquez","Unidad habitacional"
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20199,"Municipio Libre",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20200,Bellavista,Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20200,"El Quelite",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20200,"Ex Hacienda La Cantera",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20200,"Fuentes del Lago",Condominio
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20200,"José Vasconcelos Calderón",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20200,"Lic Manuel Gómez Morin",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20200,"Loma Bonita",Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20200,Olinda,Fraccionamiento
1,Aguascalientes,1,Aguascalientes,Aguascalientes,Urbano,20200,"Porta Canteras",Fraccionamiento
